userId,follow,total,userId,diversity
514,7,794,514,5.64774263909501
258,0,50,258,5.629151558757454
519,0,52,519,5.597293765474258
272,0,62,272,5.47534105715204
153,2,358,153,5.633734855928407
25,0,52,25,5.4549307784233445
417,0,134,417,5.715559801685534
296,0,54,296,5.683453787963947
556,0,64,556,5.7175674785066315
306,0,224,306,5.510477280438779
567,4,770,567,5.334657824951812
184,1,268,184,5.467163294406975
62,3,732,62,5.64347358953194
329,1,46,329,5.6731059854121595
586,1,416,586,5.78578335063376
331,1,336,331,5.679848286622227
459,0,52,459,5.215231194380947
77,0,58,77,5.621585626283299
205,0,54,205,5.562110283978158
209,0,70,209,5.591870430379394
338,0,78,338,5.684781411594773
596,3,822,596,5.5095907261390575
89,6,1036,89,5.738961886297803
98,0,184,98,5.33862217574348
362,3,218,362,5.892992857964995
491,0,128,491,5.636197497968992
111,4,1292,111,5.61351272912074
248,1,102,248,5.337844072506009
382,2,582,382,5.7862221182913895
